compression,time_elapsed,type
none,36.930704,parquet
none,11.691925,parquet
none,10.484485,parquet
none,8.776473,parquet
none,9.811334,parquet
none,9.049976,parquet
none,10.856433,parquet
none,8.311726,parquet
none,8.674819,parquet
none,8.55603,parquet
none,9.432651,parquet
none,9.079507,parquet
none,9.440185,parquet
none,13.437244,parquet
none,8.835462,parquet
none,8.834863,parquet
none,8.570343,parquet
none,8.472685,parquet
none,8.675772,parquet
none,9.291566,parquet
none,9.416828,parquet
none,8.834243,parquet
none,12.192878,parquet
none,9.161332,parquet
none,9.484099,parquet
none,8.74851,parquet
none,8.744497,parquet
none,8.178858,parquet
none,8.909552,parquet
none,8.471715,parquet
uncompressed,9.956921,parquet
uncompressed,9.852785,parquet
uncompressed,13.0585,parquet
uncompressed,8.762068,parquet
uncompressed,10.882432,parquet
uncompressed,11.700634,parquet
uncompressed,8.684782,parquet
uncompressed,8.853281,parquet
uncompressed,9.488974,parquet
uncompressed,8.955367,parquet
uncompressed,9.063219,parquet
uncompressed,10.199116,parquet
uncompressed,9.047144,parquet
uncompressed,8.533216,parquet
uncompressed,8.476913,parquet
uncompressed,10.00205,parquet
uncompressed,9.062106,parquet
uncompressed,9.412317,parquet
uncompressed,8.22064,parquet
uncompressed,8.759994,parquet
uncompressed,8.104141,parquet
uncompressed,8.389166,parquet
uncompressed,8.337783,parquet
uncompressed,9.552959,parquet
uncompressed,9.123544,parquet
uncompressed,8.613192,parquet
uncompressed,8.306174,parquet
uncompressed,8.712677,parquet
uncompressed,8.905893,parquet
uncompressed,10.278023,parquet
snappy,13.851085,parquet
snappy,10.977304,parquet
snappy,11.94471,parquet
snappy,9.153331,parquet
snappy,9.002319,parquet
snappy,9.292757,parquet
snappy,9.908406,parquet
snappy,10.847868,parquet
snappy,9.486209,parquet
snappy,8.425174,parquet
snappy,10.743213,parquet
snappy,12.0114,parquet
snappy,11.310285,parquet
snappy,11.134559,parquet
snappy,11.046938,parquet
snappy,9.22153,parquet
snappy,9.306426,parquet
snappy,10.146007,parquet
snappy,10.315265,parquet
snappy,9.004676,parquet
snappy,9.832357,parquet
snappy,10.584873,parquet
snappy,12.097224,parquet
snappy,9.177802,parquet
snappy,9.494458,parquet
snappy,9.213582,parquet
snappy,8.930013,parquet
snappy,8.442634,parquet
snappy,8.764782,parquet
snappy,9.331668,parquet
gzip,9.956984,parquet
gzip,9.608143,parquet
gzip,8.547911,parquet
gzip,8.358919,parquet
gzip,10.140252,parquet
gzip,11.192707,parquet
gzip,9.646723,parquet
gzip,9.42673,parquet
gzip,10.670261,parquet
gzip,9.076434,parquet
gzip,10.769764,parquet
gzip,12.052307,parquet
gzip,10.876253,parquet
gzip,11.079039,parquet
gzip,10.675465,parquet
gzip,8.727499,parquet
gzip,9.881658,parquet
gzip,8.586582,parquet
gzip,8.419932,parquet
gzip,9.069961,parquet
gzip,8.56043,parquet
gzip,8.901694,parquet
gzip,8.919445,parquet
gzip,8.457688,parquet
gzip,8.043001,parquet
gzip,8.454095,parquet
gzip,8.097408,parquet
gzip,8.146797,parquet
gzip,9.289249,parquet
gzip,8.751438,parquet
none,11.206974,orc
none,9.058352,orc
none,8.929633,orc
none,8.336644,orc
none,8.229105,orc
none,8.496333,orc
none,7.853225,orc
none,7.920852,orc
none,7.95271,orc
none,7.771012,orc
none,7.963371,orc
none,8.553896,orc
none,7.960397,orc
none,7.988667,orc
none,8.805458,orc
none,7.937605,orc
none,7.665151,orc
none,9.084034,orc
none,8.522563,orc
none,10.297975,orc
none,9.174914,orc
none,9.020413,orc
none,9.5393,orc
none,8.932291,orc
none,9.171208,orc
none,10.203972,orc
none,9.241211,orc
none,8.836081,orc
none,8.957411,orc
none,9.74468,orc
snappy,9.74988,orc
snappy,9.187127,orc
snappy,10.742316,orc
snappy,8.522255,orc
snappy,11.631611,orc
snappy,10.263017,orc
snappy,10.336065,orc
snappy,10.462774,orc
snappy,9.746673,orc
snappy,8.92564,orc
snappy,8.202469,orc
snappy,9.363269,orc
snappy,9.722467,orc
snappy,9.753946,orc
snappy,7.970684,orc
snappy,8.326367,orc
snappy,8.185961,orc
snappy,7.723682,orc
snappy,7.857142,orc
snappy,7.827662,orc
snappy,8.263637,orc
snappy,8.247453,orc
snappy,8.148389,orc
snappy,8.387844,orc
snappy,7.653763,orc
snappy,7.812745,orc
snappy,8.325397,orc
snappy,8.972859,orc
snappy,7.52886,orc
snappy,7.671773,orc
zlib,8.328226,orc
zlib,8.098036,orc
zlib,8.942124,orc
zlib,10.14829,orc
zlib,8.85284,orc
zlib,9.550581,orc
zlib,9.719375,orc
zlib,8.887679,orc
zlib,8.492667,orc
zlib,8.886147,orc
zlib,8.803048,orc
zlib,8.7494,orc
zlib,9.393124,orc
zlib,8.991747,orc
zlib,9.090213,orc
zlib,8.462825,orc
zlib,8.672376,orc
zlib,8.650254,orc
zlib,8.352673,orc
zlib,9.416685,orc
zlib,8.625493,orc
zlib,8.974729,orc
zlib,8.634659,orc
zlib,8.699728,orc
zlib,9.831867,orc
zlib,9.167847,orc
zlib,8.980277,orc
zlib,8.992096,orc
zlib,8.851488,orc
zlib,9.794279,orc
